ANO;NOME_AGREGA;AGREGA;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;T_FREQ5A6;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND11A13;T_FUND15A17;T_FUND18M;T_FUND18A24;T_FUND25M;T_MED18A20;T_MED25M;T_SUPER25M;R1040;R2040;RDPC;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;RDPCT;RIND;RMPOB;RPOB;PRENTRAB;PIND;PMPOB;PPOB;GINI;THEIL;POP;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18M;POP18A20;POP18A24;POP25M;POP65M;POPT;POPTOT;I_ESCOLARIDADE;I_FREQ_PROP;IDHM_E;IDHM_L;IDHM_R;IDHM
2011;BRASIL;1;74,20;16,43;8,25;46,01;8,36;8,58;9,14;10,59;23,29;19,82;93,57;96,58;51,52;14,81;91,07;98,20;83,71;28,85;84,16;61,01;60,93;82,84;56,71;48,38;39,95;11,44;15,53;10,62;698,48;113,39;264,12;432,70;679,75;2003,92;2932,06;705,97;32,64;80,47;149,94;77,34;4,74;12,41;29,57;0,529;0,506;186116880;5897207;29638338;40353670;10559880;10715332;151800458;141085126;9681467;22786424;118298702;16316954;184141369;186116880;0,609;0,712;0,676;0,820;0,718;0,738
2012;BRASIL;1;74,52;15,69;8,63;45,91;8,60;8,66;9,23;10,68;20,27;16,80;93,73;96,74;53,77;15,29;91,51;98,25;84,16;29,35;87,21;62,57;60,24;81,92;56,15;48,04;40,93;11,96;15,06;10,35;751,68;126,67;288,22;468,54;727,81;2147,31;3124,23;759,53;31,87;80,16;148,84;76,97;3,91;10,40;25,41;0,526;0,497;190315001;5764104;29317332;39907407;10202590;10590075;154086410;143496335;10025969;22786857;120709478;17228229;188347910;190315001;0,602;0,723;0,681;0,825;0,730;0,745
2013;BRASIL;1;74,84;15,02;8,88;45,25;8,70;8,52;9,08;10,48;18,46;15,05;93,82;96,97;54,79;16,48;92,96;98,44;84,33;29,98;89,21;64,19;61,68;83,57;57,65;49,45;42,18;12,62;15,07;10,32;777,56;127,65;299,59;489,08;754,28;2204,87;3218,77;787,62;31,00;74,82;147,66;77,18;4,30;9,90;24,49;0,525;0,495;189853572;5713135;28840236;39482579;10038631;10642343;156596592;145954249;10177580;22705616;123248633;17889344;187430383;189853572;0,617;0,740;0,696;0,831;0,735;0,754
2014;BRASIL;1;75,14;14,40;9,29;44,75;8,79;8,27;8,80;10,15;16,18;12,75;93,80;96,96;56,02;17,57;93,66;98,52;84,27;30,02;90,54;65,53;61,84;83,92;57,87;51,95;42,97;13,14;14,17;9,77;803,36;144,86;317,68;507,73;785,05;2259,86;3276,54;807,10;37,63;81,62;154,10;76,65;3,01;8,10;22,09;0,515;0,480;194603344;5512883;27898843;38446180;9387311;10547337;159243370;148696033;10287955;22681790;126014243;18869998;193700603;194603344;0,618;0,754;0,706;0,836;0,741;0,761
2015;BRASIL;1;75,44;13,82;9,87;44,69;8,92;7,95;8,46;9,73;15,94;12,40;94,11;97,20;56,63;17,96;94,33;98,59;85,02;30,70;91,02;65,95;62,93;85,13;59,06;52,50;44,16;13,54;14,15;9,79;746,84;131,63;296,44;477,18;729,67;2095,93;3027,64;750,16;37,68;82,93;150,01;75,44;3,63;9,96;24,30;0,515;0,483;199120820;5431746;27505282;38142894;9420455;10637612;161792373;151154761;10302708;22432217;128722544;20211426;198239053;199120820;0,629;0,760;0,713;0,841;0,729;0,761
2011;RO;11;70,32;22,24;5,29;45,77;7,60;9,74;10,66;12,68;23,15;19,07;90,09;94,56;45,80;10,70;70,03;95,77;80,47;25,25;87,05;56,52;55,73;77,74;51,02;41,12;32,87;8,96;12,64;8,99;613,70;116,22;256,57;400,02;620,27;1675,90;2356,51;619,50;31,81;86,47;153,80;84,93;3,96;12,75;30,47;0,496;0,437;1587902;58704;287138;405050;103310;117912;1249245;1131333;83742;199175;932158;89420;1573035;1587902;0,557;0,637;0,609;0,755;0,697;0,687
2012;RO;11;70,53;21,75;4,99;44,60;7,94;8,57;9,26;11,35;22,21;16,47;93,47;97,41;46,94;11,55;81,58;98,66;82,08;23,32;88,19;55,43;55,80;79,82;50,22;43,76;33,40;8,62;11,86;8,49;633,34;126,82;268,76;430,03;665,67;1679,67;2344,94;639,64;34,00;90,31;153,67;83,39;3,07;11,28;27,37;0,482;0,405;1649946;56146;276266;380668;93798;104402;1269765;1165363;92834;219635;945728;85458;1633695;1649946;0,558;0,672;0,632;0,759;0,703;0,698
2013;RO;11;70,74;21,27;5,60;43,78;7,80;8,56;9,24;11,09;20,43;16,87;93,52;96,72;49,40;14,25;82,84;98,19;83,45;28,50;87,84;57,31;54,40;79,59;48,95;41,84;32,02;8,87;11,17;8,10;621,39;127,31;272,46;435,14;656,21;1618,23;2233,28;631,23;23,30;78,09;153,88;83,77;3,76;10,07;27,27;0,474;0,391;1670217;49667;281864;383388;100021;101524;1302660;1201136;95435;213518;987618;97140;1644167;1670217;0,544;0,675;0,628;0,762;0,699;0,696
2014;RO;11;70,94;20,82;5,76;45,20;8,31;8,34;8,88;10,66;15,55;13,10;93,39;97,13;50,14;16,90;90,54;98,84;79,48;29,72;87,96;60,40;58,46;81,82;53,44;46,35;38,43;10,61;10,90;7,86;667,41;146,53;294,82;452,72;691,37;1734,50;2405,33;674,18;31,64;77,96;158,97;83,47;3,01;7,19;22,73;0,469;0,380;1657696;55918;281102;369509;96227;88407;1308580;1220173;96724;216118;1004055;101017;1641072;1657696;0,585;0,713;0,667;0,766;0,711;0,715
2015;RO;11;71,14;20,38;7,13;45,02;8,35;8,01;8,65;10,06;17,07;12,24;91,70;96,34;45,27;15,37;88,57;97,46;80,10;25,30;90,43;57,21;57,26;78,91;53,14;42,64;37,34;10,68;11,15;8,07;634,73;136,81;272,50;441,48;661,42;1651,35;2281,71;637,57;28,18;95,94;159,04;81,58;1,68;9,53;26,70;0,470;0,391;1755648;56758;265852;374465;87530;108613;1349021;1240408;88078;198580;1041828;126433;1747811;1755648;0,573;0,697;0,653;0,769;0,703;0,708
2011;AC;12;72,11;21,03;4,81;59,84;7,63;14,38;15,94;19,08;26,03;22,89;89,06;93,27;41,63;13,19;84,15;95,94;80,42;30,05;76,47;52,31;57,04;76,75;51,82;40,42;36,53;10,16;17,17;11,73;508,38;77,40;177,58;300,61;488,55;1495,57;2188,95;516,23;37,01;81,86;140,07;78,82;8,06;21,68;44,64;0,546;0,533;727974;33743;158978;210802;53293;51824;506460;454636;45183;95167;359469;36143;716905;727974;0,570;0,633;0,612;0,785;0,667;0,688
2012;AC;12;72,51;20,06;4,43;57,37;8,14;13,46;14,62;18,09;24,93;22,46;88,71;92,55;44,11;16,55;75,14;94,87;79,09;35,41;79,77;55,13;58,54;76,34;53,46;45,69;37,97;11,69;17,47;12,03;531,52;76,96;182,67;308,77;534,70;1561,02;2268,26;537,74;34,04;81,96;135,63;78,06;6,90;22,02;42,25;0,550;0,552;740711;32992;152466;201489;48837;49023;520580;471557;51822;104757;366800;33918;732136;740711;0,585;0,639;0,621;0,792;0,674;0,696
2013;AC;12;72,89;19,18;4,87;57,46;7,82;14,61;16,06;19,71;26,15;24,11;89,90;94,44;45,13;16,05;80,33;96,78;80,19;33,79;74,33;56,17;57,67;76,80;52,50;49,07;37,63;10,76;15,04;10,43;484,89;81,92;180,93;296,48;501,64;1370,85;1976,86;493,77;32,74;81,92;141,28;76,65;7,13;20,11;44,20;0,524;0,478;745599;31010;156781;210433;51559;53652;533073;479421;46521;102097;377324;37974;732185;745599;0,577;0,650;0,624;0,798;0,660;0,694
2014;AC;12;73,26;18,37;4,70;57,52;7,95;13,08;14,33;17,19;18,79;18,14;89,27;94,33;50,15;16,38;84,28;96,47;76,16;31,91;82,09;67,80;60,12;80,20;55,02;50,60;38,44;11,25;16,13;11,21;548,24;90,03;196,53;316,52;528,49;1606,31;2310,77;552,10;37,54;83,40;145,22;79,81;6,19;17,72;40,69;0,540;0,527;767878;26710;157070;211332;56279;54262;540757;486495;42500;98442;388053;37291;762502;767878;0,601;0,712;0,673;0,804;0,679;0,719
2015;AC;12;73,61;17,63;6,21;54,31;7,98;13,76;15,07;18,21;20,02;16,98;89,62;93,43;51,53;16,03;81,21;95,17;83,34;38,02;86,59;62,13;61,52;80,83;56,51;42,47;39,16;11,09;15,98;11,08;495,58;81,54;179,51;287,16;487,68;1445,87;2085,93;496,46;42,94;81,92;140,45;74,28;7,19;20,35;44,21;0,539;0,530;789380;28910;141365;199175;48346;57810;572693;514883;51169;106012;408871;50105;787978;789380;0,615;0,681;0,658;0,810;0,663;0,710
2011;AM;13;70,64;21,43;4,84;58,67;8,32;8,35;9,06;10,79;30,95;27,11;91,90;94,37;39,64;12,53;78,39;95,86;84,15;37,82;72,19;46,87;64,70;76,98;61,57;35,87;43,39;8,53;16,63;11,40;456,20;67,48;166,35;274,90;438,43;1332,91;1944,27;467,61;31,13;79,52;136,01;83,51;8,95;24,14;47,30;0,541;0,514;3181506;166040;724189;958732;258025;234543;2503309;2268766;210065;460572;1808194;178457;3103871;3181506;0,647;0,583;0,604;0,761;0,650;0,672
2012;AM;13;70,91;20,71;5,24;57,77;8,77;8,27;8,93;10,53;26,57;22,59;92,27;94,46;42,14;11,30;80,78;95,87;85,61;33,89;79,91;48,45;62,29;75,53;58,97;34,40;45,48;8,13;13,80;9,76;481,60;86,37;187,35;304,15;495,34;1336,30;1888,16;486,91;37,52;87,29;143,94;80,57;6,25;20,53;42,89;0,511;0,462;3593396;148857;750345;982296;242505;231951;2578380;2346429;222772;470397;1876032;196863;3554227;3593396;0,623;0,609;0,613;0,765;0,658;0,679
2013;AM;13;71,17;20,03;4,85;55,74;8,93;7,34;8,02;9,72;25,08;21,03;91,72;95,33;42,87;14,26;83,89;96,24;82,39;35,53;81,34;52,09;68,14;79,61;65,13;39,92;48,04;10,51;16,80;11,63;543,34;81,07;192,67;315,61;531,65;1591,17;2298,90;552,85;31,58;77,24;141,31;83,44;7,38;18,55;41,07;0,543;0,526;3754201;156781;741308;986471;248676;245163;2640560;2395397;238974;498217;1897180;185549;3689599;3754201;0,681;0,643;0,656;0,770;0,678;0,701
2014;AM;13;71,42;19,38;5,10;51,56;9,21;6,20;6,71;8,06;20,99;16,24;92,46;95,77;46,00;15,87;82,30;97,03;82,94;34,82;85,81;54,14;67,01;79,98;63,82;43,12;48,96;11,56;15,19;10,36;579,45;106,52;216,97;345,28;549,22;1675,06;2456,64;580,32;42,78;88,06;151,13;82,89;4,33;14,12;36,30;0,529;0,503;3775086;152375;697195;939831;242944;242636;2763746;2521110;239200;497830;2023280;198130;3769444;3775086;0,670;0,663;0,666;0,774;0,688;0,709
2015;AM;13;71,67;18,77;5,78;53,12;9,23;6,67;7,17;8,66;20,95;17,79;93,08;95,65;50,14;15,93;86,08;96,87;84,17;35,19;83,29;57,98;66,18;81,23;62,33;44,70;47,26;11,15;14,20;9,99;480,56;85,75;185,45;295,27;480,83;1354,01;1925,21;481,90;43,30;86,60;143,61;79,56;6,31;20,35;43,26;0,517;0,482;3882818;151977;717316;949697;243446;232381;2809771;2577390;233668;525277;2052113;228474;3872078;3882818;0,662;0,680;0,674;0,778;0,658;0,703
2011;RR;14;69,87;18,16;4,15;52,08;8,88;9,62;10,42;12,83;21,71;18,91;94,18;96,69;54,48;25,88;85,00;97,08;87,82;40,70;82,96;61,54;70,34;87,60;65,75;54,34;51,29;11,03;14,92;10,76;647,84;114,57;231,50;388,36;640,00;1861,23;2581,18;650,04;43,43;96,86;155,02;80,52;3,38;13,87;34,12;0,525;0,492;456998;20615;88283;115070;29195;26787;330246;303459;29712;63721;239738;19586;455453;456998;0,703;0,710;0,708;0,748;0,706;0,721
2012;RR;14;70,22;17,96;3,91;52,57;9,59;7,39;8,24;10,02;18,43;14,63;93,21;96,73;55,01;21,96;87,71;97,82;85,50;35,45;89,06;64,01;71,82;90,74;66,55;53,26;52,54;12,68;15,99;11,23;633,53;108,69;217,90;360,72;626,71;1834,04;2610,71;643,14;24,86;87,83;154,84;82,76;3,85;13,86;36,96;0,539;0,507;463062;21114;95347;129954;33221;34607;334835;300228;29242;65409;234819;18860;456141;463062;0,718;0,735;0,729;0,754;0,703;0,729
2013;RR;14;70,57;17,76;5,31;49,41;8,87;9,81;10,62;12,95;21,37;17,37;93,60;96,98;59,88;19,74;90,17;98,05;83,96;32,18;82,79;70,36;65,70;84,87;60,87;51,68;47,37;10,77;14,81;10,20;625,64;117,67;240,50;360,96;583,80;1825,95;2652,41;636,62;28,84;81,71;156,60;84,04;4,35;11,44;32,23;0,531;0,479;473146;19877;82200;110965;26808;28765;354910;326145;26455;65694;260451;26101;464986;473146;0,657;0,738;0,710;0,760;0,701;0,724
2014;RR;14;70,90;17,57;4,14;46,82;9,29;7,47;8,18;9,95;13,48;11,17;91,25;96,04;54,53;14,33;94,69;98,60;75,76;32,38;90,69;70,29;66,19;83,67;61,79;44,73;49,03;13,20;12,71;8,99;665,19;142,56;271,82;411,75;633,96;1863,10;2634,42;666,26;40,15;91,90;164,91;84,01;2,57;8,23;26,82;0,501;0,442;473519;21480;81551;112919;24523;31368;361360;329992;30609;66354;263638;20715;472758;473519;0,662;0,751;0,720;0,765;0,710;0,732
2015;RR;14;71,22;17,39;5,04;50,66;9,57;7,96;8,74;10,56;11,98;9,39;95,03;98,07;60,52;20,40;97,61;99,14;88,54;36,18;92,31;69,43;69,65;85,85;65,85;53,86;50,97;15,19;14,22;10,08;649,43;124,60;245,14;386,83;624,25;1864,17;2628,55;650,25;42,64;91,99;158,23;82,33;2,83;10,89;31,49;0,519;0,479;489524;17355;96480;128928;34905;32448;363288;330840;29556;62822;268018;25622;488905;489524;0,697;0,783;0,753;0,770;0,707;0,743
2011;PA;15;71,09;19,57;5,61;53,67;7,35;10,61;11,54;13,81;39,66;35,20;92,24;95,51;37,31;7,53;87,94;96,85;83,38;31,43;66,92;43,51;54,87;71,11;50,72;29,25;32,15;5,93;16,03;10,77;443,89;75,90;165,15;262,20;421,21;1297,88;1931,77;449,12;41,84;85,79;142,61;79,21;8,31;24,52;49,89;0,540;0,514;7466887;301655;1433403;1948424;500625;515021;5495938;4980917;444272;1012416;3968501;436469;7379877;7466887;0,549;0,569;0,562;0,768;0,645;0,658
2012;PA;15;71,30;18,89;5,51;52,75;7,67;10,51;11,32;13,54;36,88;32,35;92,77;96,21;38,10;8,42;85,73;97,22;83,70;32,15;70,12;42,88;52,64;68,56;48,72;30,37;32,81;6,78;12,87;9,05;453,39;87,99;187,11;290,02;455,95;1245,50;1770,35;458,00;38,91;88,16;146,18;78,88;5,80;20,12;43,52;0,502;0,441;7525207;283771;1454831;1919557;480702;464726;5596330;5131604;452893;1015628;4115976;434598;7449454;7525207;0,526;0,573;0,557;0,772;0,649;0,659
2013;PA;15;71,51;18,26;6,34;52,45;7,76;10,05;10,85;12,96;31,18;26,16;93,35;96,56;39,82;8,77;87,72;97,30;85,58;31,45;78,29;45,83;54,31;74,37;49,68;31,79;33,79;6,87;13,15;9,22;464,30;87,28;189,70;292,68;473,81;1276,39;1821,24;471,45;35,26;82,73;147,28;78,18;6,40;18,45;43,54;0,504;0,440;7611176;293186;1463369;1943807;496420;480438;5747976;5267538;456532;988189;4279349;506558;7495831;7611176;0,543;0,609;0,586;0,775;0,653;0,671
2014;PA;15;71,71;17,65;6,44;51,99;7,78;9,97;10,81;12,81;28,26;23,32;93,12;96,33;42,37;9,23;89,13;97,75;84,54;32,68;78,35;47,58;54,05;73,64;49,72;32,71;33,71;6,63;12,05;8,47;469,47;96,39;200,62;312,35;479,84;1258,47;1790,10;472,90;38,39;87,13;148,94;76,90;4,59;16,73;40,15;0,487;0,415;7671401;288650;1452931;1958674;489237;505743;5846174;5340431;447428;967043;4373388;521506;7615746;7671401;0,541;0,619;0,592;0,779;0,654;0,675
2015;PA;15;71,91;17,09;7,13;49,77;7,92;9,94;10,78;12,77;26,68;21,14;93,30;96,51;44,43;11,53;88,14;97,84;86,18;32,97;83,67;50,87;55,64;76,42;51,26;36,40;34,87;7,10;10,97;7,85;448,40;99,51;200,80;302,00;467,33;1179,30;1647,27;448,46;41,63;89,42;153,92;76,26;4,59;16,38;41,24;0,471;0,400;8048141;294951;1400673;1922224;463647;521551;6054308;5532757;447141;963610;4569147;583779;8047111;8048141;0,556;0,648;0,616;0,782;0,647;0,682
2011;AP;16;72,47;24,34;4,42;56,10;8,75;7,60;8,39;10,36;28,28;25,00;91,31;95,24;49,10;14,01;81,75;96,19;82,43;37,83;79,81;56,76;64,28;82,80;59,17;44,57;46,04;10,56;14,76;10,51;472,77;78,29;178,00;290,48;463,57;1346,78;1891,66;483,18;27,84;84,74;142,88;82,99;7,26;22,82;45,71;0,523;0,480;661416;28951;144739;195744;51242;51005;483810;432805;42267;93495;339310;31251;647172;661416;0,643;0,657;0,652;0,791;0,656;0,700
